metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
http_reqs,1722878060,1.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_duration,1722878060,17.680900,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_blocked,1722878060,8.552600,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_connecting,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_tls_handshaking,1722878060,7.992200,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_sending,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_waiting,1722878060,17.160000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_receiving,1722878060,0.520900,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_failed,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_reqs,1722878060,1.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_duration,1722878060,17.160000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_blocked,1722878060,8.048900,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_connecting,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_tls_handshaking,1722878060,7.992200,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_sending,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_waiting,1722878060,17.160000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_receiving,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_failed,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_reqs,1722878060,1.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_duration,1722878060,17.160000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_blocked,1722878060,8.552600,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_connecting,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_tls_handshaking,1722878060,7.992200,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_sending,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_waiting,1722878060,17.160000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_receiving,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_failed,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
checks,1722878060,1.000000,status is 200,,,,,,,,default,,,,,,,
checks,1722878060,1.000000,protocol is HTTP/2,,,,,,,,default,,,,,,,
checks,1722878060,1.000000,status is 200,,,,,,,,default,,,,,,,
checks,1722878060,1.000000,status is 200,,,,,,,,default,,,,,,,
checks,1722878060,1.000000,protocol is HTTP/2,,,,,,,,default,,,,,,,
checks,1722878060,1.000000,protocol is HTTP/2,,,,,,,,default,,,,,,,
http_reqs,1722878060,1.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_duration,1722878060,17.680900,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_blocked,1722878060,9.055200,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
http_req_connecting,1722878060,0.000000,,,,true,,GET,https://localhost:9090/users/getAllUsers,HTTP/2.0,default,,200,,tls1.3,https://localhost:9090/users/getAllUsers,,
